backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
w2v2,asr,0.001,3.8333,444444444433,WER,0.101133,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.167,0.106571,0.105903,-0.25,5.1,4.5,0
w2v2,asr,0.01,3.5833,444444444322,WER,0.100474,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.417,0.115101,0.113905,0.41,12.71,11.79,0
w2v2,asr,0.02,3.5833,444444444322,WER,0.100474,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.417,0.115101,0.113905,0.41,12.71,11.79,0
w2v2,asr,0.05,3.4167,344444444222,WER,0.102319,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.583,0.120788,0.119572,-1.42,15.29,14.43,0
w2v2,asr,0.1,3.1667,333344444222,WER,0.106751,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.833,0.129318,0.128606,-5.82,17.45,16.99,0
w2v2,asr,0.2,2.9167,333333443222,WER,0.114958,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.083,0.206346,0.159403,14.85,44.29,27.88,0
w2v2,asr,0.3,2.75,233333343222,WER,0.132295,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.25,0.349029,0.222225,2.01,62.1,40.47,0
w2v2,asr,0.5,2.6667,233333333222,WER,0.146766,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.333,0.42037,0.262385,-8.71,65.09,44.06,0
w2v2,asr,1.0,2.5833,223333333222,WER,0.161939,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.417,0.491711,0.309804,-19.95,67.07,47.73,0
w2v2,asr,5.0,2.3333,222333322222,WER,0.42487,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.667,0.705735,0.509951,-214.71,39.8,16.68,0
w2v2,asv,0.001,3.8333,444444444433,EER,0.069088,0.1866383881230117,0.07460233297985153,0.06903499469777308,4,0.167,0.069963,0.069933,-0.08,1.25,1.21,0
w2v2,asv,0.01,3.3333,444433433332,EER,0.069353,0.1866383881230117,0.07460233297985153,0.06903499469777308,4,0.667,0.072747,0.072698,-0.46,4.66,4.6,0
w2v2,asv,0.02,3.1667,344433333332,EER,0.070467,0.1866383881230117,0.07460233297985153,0.06903499469777308,4,0.833,0.073674,0.073644,-2.07,4.35,4.31,0
w2v2,asv,0.05,2.9167,333433333322,EER,0.071315,0.1866383881230117,0.07460233297985153,0.06903499469777308,3,0.083,0.083939,0.080527,4.41,15.04,11.44,0
w2v2,asv,0.1,2.5833,333333222322,EER,0.083404,0.1866383881230117,0.07460233297985153,0.06903499469777308,3,0.417,0.121284,0.109317,-11.8,31.23,23.7,0
w2v2,asv,0.2,2.5,333332223222,EER,0.086797,0.1866383881230117,0.07460233297985153,0.06903499469777308,3,0.5,0.13062,0.117999,-16.35,33.55,26.44,0
w2v2,asv,0.3,2.1667,233222222222,EER,0.118823,0.1866383881230117,0.07460233297985153,0.06903499469777308,3,0.833,0.167966,0.160187,-59.28,29.26,25.82,0
w2v2,asv,0.5,2.1667,233222222222,EER,0.118823,0.1866383881230117,0.07460233297985153,0.06903499469777308,3,0.833,0.167966,0.160187,-59.28,29.26,25.82,0
w2v2,asv,1.0,2.0833,223222222222,EER,0.140774,0.1866383881230117,0.07460233297985153,0.06903499469777308,3,0.917,0.177302,0.172907,-88.7,20.6,18.58,0
w2v2,asv,5.0,2.0,222222222222,EER,0.186638,0.1866383881230117,0.07460233297985153,0.06903499469777308,2,0.0,0.186638,0.186638,0.0,0.0,0.0,1
w2v2,er,0.001,3.8333,444444434434,ER_ERR,0.401289,0.5785656728444802,0.41498791297340853,0.40370668815471394,4,0.167,0.405587,0.405565,0.6,1.06,1.05,0
w2v2,er,0.01,3.8333,444444434434,ER_ERR,0.401289,0.5785656728444802,0.41498791297340853,0.40370668815471394,4,0.167,0.405587,0.405565,0.6,1.06,1.05,0
w2v2,er,0.02,3.8333,444444434434,ER_ERR,0.401289,0.5785656728444802,0.41498791297340853,0.40370668815471394,4,0.167,0.405587,0.405565,0.6,1.06,1.05,0
