backbone,config,quantizer,bits,PER,WER,KS_ERR,IC_ERR,ER_ERR,EER,sec
hubert,gptq_b2,gptq,2,0.9969,1.0198,0.8942,0.9744,0.7226,0.4053,623
hubert,gptq_b3,gptq,3,0.1283,0.1674,0.0828,0.106,0.4268,0.0786,694
hubert,gptq_b4,gptq,4,0.0612,0.1012,0.037,0.0372,0.4038,0.0672,607
hubert,awq_b2,awq,2,0.9834,0.9982,0.9062,0.9873,0.6504,0.2601,918
hubert,awq_b3,awq,3,0.0818,0.1319,0.1133,0.0601,0.4578,0.0787,789
hubert,awq_b4,awq,4,0.0587,0.0997,0.0305,0.0361,0.399,0.0685,714
hubert,fp32,none,32,0.0532,0.0938,0.0299,0.0298,0.3909,0.0676,559
hubertL,gptq_b2,gptq,2,0.7109,0.9643,0.8698,0.7654,0.6345,0.2464,962
hubertL,gptq_b3,gptq,3,0.0552,0.0968,0.197,0.0514,0.4015,0.0845,848
hubertL,gptq_b4,gptq,4,0.0413,0.0743,0.1003,0.039,0.372,0.0775,824
hubertL,awq_b2,awq,2,0.6353,0.9327,0.8351,0.864,0.6384,0.2133,776
hubertL,awq_b3,awq,3,0.0552,0.0888,0.3363,0.0601,0.4484,0.0832,924
hubertL,awq_b4,awq,4,0.0417,0.075,0.0987,0.043,0.3615,0.079,1074
hubertL,fp32,none,32,0.0379,0.0704,0.0646,0.0369,0.3623,0.0774,728
w2v2,gptq_b2,gptq,2,0.9633,1.0048,0.852,0.966,0.6965,0.3366,620
w2v2,gptq_b3,gptq,3,0.1013,0.1666,0.0954,0.1287,0.4574,0.0813,699
w2v2,gptq_b4,gptq,4,0.0626,0.1046,0.0389,0.0825,0.4199,0.0692,611
w2v2,awq_b2,awq,2,0.8434,0.9983,0.8267,0.9536,0.6524,0.2815,919
w2v2,awq_b3,awq,3,0.087,0.1403,0.0824,0.1429,0.4621,0.083,788
w2v2,awq_b4,awq,4,0.0594,0.1032,0.0377,0.0912,0.4303,0.0691,718
w2v2,fp32,none,32,0.055,0.0972,0.038,0.0775,0.4232,0.0666,568
wavlm,gptq_b2,gptq,2,0.9903,1.002,0.8984,0.9612,0.6842,0.3209,894
wavlm,gptq_b3,gptq,3,0.0904,0.1349,0.0785,0.0878,0.4284,0.0798,856
wavlm,gptq_b4,gptq,4,0.0552,0.0987,0.0412,0.0469,0.3869,0.0741,854
wavlm,awq_b2,awq,2,0.9316,1.0196,0.8806,0.9673,0.6794,0.2904,806
wavlm,awq_b3,awq,3,0.0705,0.115,0.0568,0.0733,0.4237,0.0801,909
wavlm,awq_b4,awq,4,0.0548,0.0949,0.0399,0.0472,0.3962,0.0726,968
wavlm,fp32,none,32,0.0508,0.0907,0.0367,0.0419,0.39,0.0723,685
wavlmL,gptq_b2,gptq,2,0.8874,0.8701,0.3499,0.7696,0.5779,0.1902,1278
wavlmL,gptq_b3,gptq,3,0.0939,0.0867,0.0448,0.058,0.3583,0.0581,1251
wavlmL,gptq_b4,gptq,4,0.0447,0.07,0.0263,0.0161,0.3318,0.0549,1197
wavlmL,awq_b2,awq,2,0.4203,0.4658,0.1639,0.5597,0.5015,0.1101,1686
wavlmL,awq_b3,awq,3,0.0569,0.081,0.0373,0.0377,0.3587,0.059,778
wavlmL,awq_b4,awq,4,0.0393,0.0689,0.0289,0.0182,0.3354,0.0541,1067
wavlmL,fp32,none,32,0.0345,0.0674,0.0266,0.0119,0.3267,0.0538,1047
