backbone,task,lam,bits,errs,bit_sd,err_sd,rel_sd,alloc_agree
w2v2,pr,0.05,3.3333;3.3333;3.3333,0.06041;0.06041;0.06041,0.0,0.0,0.0,1
w2v2,asr,0.05,3.3333;3.4167;3.3333,0.10277;0.10232;0.10277,0.039283710065919165,0.00021171739312908313,0.0020631542831061893,0.9444444444444444
w2v2,ks,0.027,3.3333;3.4167;3.3333,0.04025;0.03895;0.03927,0.039283710065919165,0.0005516628273929224,0.013969916475596662,0.8888888888888888
w2v2,ic,0.2,3.2500;3.1667;3.2500,0.08437;0.09518;0.08700,0.039283710065919374,0.0046018200058304025,0.05179437175701697,0.8333333333333334
w2v2,asv,0.01,3.2500;3.3333;3.2500,0.07057;0.06935;0.07057,0.039283710065919374,0.000574883561940283,0.00819317680971819,0.9444444444444444
wavlm,pr,0.032,3.3333;3.2500;3.2500,0.05442;0.05478;0.05478,0.039283710065919374,0.0001715176473008602,0.003137983082574926,0.9444444444444444
wavlm,asr,0.05,3.3333;3.2500;3.3333,0.09631;0.09736;0.09631,0.039283710065919374,0.0004981802093604831,0.005154005578187212,0.9444444444444444
wavlm,ks,0.026,3.2500;3.3333;3.1667,0.03895;0.03862;0.03992,0.0680413817439773,0.0005516628273929214,0.01408568926406843,0.7222222222222222
wavlm,ic,0.3,3.3333;3.2500;3.1667,0.04350;0.04482;0.04587,0.0680413817439773,0.0009706794109488762,0.0217001198765958,0.8888888888888888
wavlm,asv,0.01,3.1667;3.1667;3.1667,0.07492;0.07492;0.07587,0.0,0.00044990887456196034,0.005979761363099771,0.888888888888889
hubert,pr,0.05,3.3333;3.3333;3.2500,0.05985;0.05985;0.06028,0.039283710065919374,0.00020032749414036416,0.0033390172815208944,0.9444444444444444
hubert,asr,0.08,3.3333;3.3333;3.4167,0.10253;0.10253;0.10150,0.039283710065919165,0.00048585194051334573,0.004754740037591878,0.9444444444444444
hubert,ks,0.02,3.2500;3.1667;3.4167,0.03473;0.03278;0.03116,0.10393492741038725,0.0014595626488404234,0.044377426194842216,0.7222222222222222
hubert,ic,0.2,3.3333;3.3333;3.3333,0.03322;0.03322;0.03322,0.0,0.0,0.0,1
hubert,asv,0.013,3.3333;3.3333;3.3333,0.06856;0.06856;0.06856,0.0,0.0,0.0,1
wavlmL,pr,0.02,3.2500;3.2917;3.2917,0.04546;0.04538;0.04473,0.019641855032959583,0.0003290946297097373,0.007282445434674077,0.9444444444444444
wavlmL,asr,0.05,3.1667;3.1667;3.2083,0.07034;0.07034;0.07041,0.019641855032959794,3.442968989225206e-05,0.0004893015432573449,0.9722222222222222
wavlmL,ks,0.0024,3.2917;3.3333;3.2500,0.02759;0.02726;0.02694,0.03402069087198865,0.0002650102502199691,0.009720197391996723,0.7777777777777778
wavlmL,ic,0.1,3.2917;3.2917;3.1250,0.01450;0.01318;0.01239,0.07856742013183854,0.0008699793423509679,0.06512825616191885,0.75
wavlmL,asv,0.01,3.0833;3.1250;3.0833,0.05541;0.05567;0.05541,0.019641855032959583,0.00012497468737832922,0.002251932424161105,0.9722222222222222
hubertL,pr,0.025,3.3333;3.2500;3.3333,0.04179;0.04195;0.04157,0.039283710065919374,0.0001574950654173157,0.00377052176538009,0.8888888888888888
hubertL,asr,0.05,3.2500;3.2917;3.2500,0.07599;0.07406;0.07526,0.019641855032959583,0.0007946709889832155,0.01058113882380403,0.9166666666666666
hubertL,ic,0.2,3.2917;3.2500;3.1667,0.04113;0.04113;0.04192,0.051967463705193645,0.00037284828957898634,0.009007729696643919,0.8472222222222222
hubertL,asv,0.0067,3.2917;3.2917;3.2917,0.07922;0.07922;0.07922,0.0,0.0,0.0,1
