backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubertL,pr,0,2,0,PER,0.037958,0.03784,-0.000117,quants_1024/GPTQ/quants_tc1024_pr,49
hubertL,pr,1,2,0,PER,0.037958,0.038316,0.000358,quants_1024/GPTQ/quants_tc1024_pr,50
hubertL,pr,2,2,0,PER,0.037958,0.038804,0.000846,quants_1024/GPTQ/quants_tc1024_pr,49
hubertL,pr,3,2,0,PER,0.037958,0.038882,0.000924,quants_1024/GPTQ/quants_tc1024_pr,50
hubertL,pr,4,2,0,PER,0.037958,0.038677,0.000719,quants_1024/GPTQ/quants_tc1024_pr,49
hubertL,pr,5,2,0,PER,0.037958,0.038732,0.000775,quants_1024/GPTQ/quants_tc1024_pr,49
hubertL,pr,6,2,0,PER,0.037958,0.03883,0.000872,quants_1024/GPTQ/quants_tc1024_pr,50
hubertL,pr,7,2,0,PER,0.037958,0.038646,0.000688,quants_1024/GPTQ/quants_tc1024_pr,49
hubertL,pr,8,2,0,PER,0.037958,0.038928,0.00097,quants_1024/GPTQ/quants_tc1024_pr,49
hubertL,pr,9,2,0,PER,0.037958,0.038624,0.000666,quants_1024/GPTQ/quants_tc1024_pr,48
hubertL,pr,10,2,0,PER,0.037958,0.039298,0.001341,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,11,2,0,PER,0.037958,0.038901,0.000943,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,12,2,0,PER,0.037958,0.039961,0.002003,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,13,2,0,PER,0.037958,0.038938,0.000981,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,14,2,0,PER,0.037958,0.040742,0.002784,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,15,2,0,PER,0.037958,0.040299,0.002341,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,16,2,0,PER,0.037958,0.040113,0.002156,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,17,2,0,PER,0.037958,0.040311,0.002354,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,18,2,0,PER,0.037958,0.041176,0.003218,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,19,2,0,PER,0.037958,0.043973,0.006015,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,20,2,0,PER,0.037958,0.048845,0.010888,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,21,2,0,PER,0.037958,0.051521,0.013563,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,pr,22,2,0,PER,0.037958,0.041892,0.003934,quants_1024/GPTQ/quants_tc1024_pr,49
hubertL,pr,23,2,0,PER,0.037958,0.042622,0.004664,quants_1024/GPTQ/quants_tc1024_pr,47
hubertL,asr,0,2,0,WER,0.07039,0.069686,-0.000705,quants_1024/GPTQ/quants_tc1024_asr,77
hubertL,asr,1,2,0,WER,0.07039,0.069607,-0.000783,quants_1024/GPTQ/quants_tc1024_asr,78
hubertL,asr,2,2,0,WER,0.07039,0.070746,0.000356,quants_1024/GPTQ/quants_tc1024_asr,77
hubertL,asr,3,2,0,WER,0.07039,0.069994,-0.000397,quants_1024/GPTQ/quants_tc1024_asr,77
hubertL,asr,4,2,0,WER,0.07039,0.070157,-0.000234,quants_1024/GPTQ/quants_tc1024_asr,78
hubertL,asr,5,2,0,WER,0.07039,0.069995,-0.000395,quants_1024/GPTQ/quants_tc1024_asr,77
hubertL,asr,6,2,0,WER,0.07039,0.070412,2.1e-05,quants_1024/GPTQ/quants_tc1024_asr,77
hubertL,asr,7,2,0,WER,0.07039,0.070674,0.000283,quants_1024/GPTQ/quants_tc1024_asr,80
hubertL,asr,8,2,0,WER,0.07039,0.072134,0.001744,quants_1024/GPTQ/quants_tc1024_asr,82
hubertL,asr,9,2,0,WER,0.07039,0.071633,0.001243,quants_1024/GPTQ/quants_tc1024_asr,82
hubertL,asr,10,2,0,WER,0.07039,0.072379,0.001989,quants_1024/GPTQ/quants_tc1024_asr,83
hubertL,asr,11,2,0,WER,0.07039,0.071651,0.001261,quants_1024/GPTQ/quants_tc1024_asr,82
hubertL,asr,12,2,0,WER,0.07039,0.073809,0.003419,quants_1024/GPTQ/quants_tc1024_asr,81
hubertL,asr,13,2,0,WER,0.07039,0.073698,0.003307,quants_1024/GPTQ/quants_tc1024_asr,83
hubertL,asr,14,2,0,WER,0.07039,0.075602,0.005211,quants_1024/GPTQ/quants_tc1024_asr,81
hubertL,asr,15,2,0,WER,0.07039,0.073878,0.003488,quants_1024/GPTQ/quants_tc1024_asr,84
hubertL,asr,16,2,0,WER,0.07039,0.075756,0.005366,quants_1024/GPTQ/quants_tc1024_asr,82
hubertL,asr,17,2,0,WER,0.07039,0.07764,0.00725,quants_1024/GPTQ/quants_tc1024_asr,82
hubertL,asr,18,2,0,WER,0.07039,0.079402,0.009012,quants_1024/GPTQ/quants_tc1024_asr,81
hubertL,asr,19,2,0,WER,0.07039,0.081218,0.010828,quants_1024/GPTQ/quants_tc1024_asr,82
hubertL,asr,20,2,0,WER,0.07039,0.081328,0.010937,quants_1024/GPTQ/quants_tc1024_asr,83
hubertL,asr,21,2,0,WER,0.07039,0.076436,0.006046,quants_1024/GPTQ/quants_tc1024_asr,82
hubertL,asr,22,2,0,WER,0.07039,0.073149,0.002758,quants_1024/GPTQ/quants_tc1024_asr,82
hubertL,asr,23,2,0,WER,0.07039,0.070421,3.1e-05,quants_1024/GPTQ/quants_tc1024_asr,83
hubertL,ks,0,2,0,KS_ERR,0.064589,0.065888,0.001298,quants_1024/GPTQ/quants_tc1024_ks,40
hubertL,ks,1,2,0,KS_ERR,0.064589,0.065239,0.000649,quants_1024/GPTQ/quants_tc1024_ks,40
hubertL,ks,2,2,0,KS_ERR,0.064589,0.06394,-0.000649,quants_1024/GPTQ/quants_tc1024_ks,39
