backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
wavlmL,pr,0,2,0,PER,0.034451,0.034586,0.000135,quants_1024/GPTQ/quants_tc1024_pr,77
wavlmL,pr,1,2,0,PER,0.034451,0.034534,8.3e-05,quants_1024/GPTQ/quants_tc1024_pr,76
wavlmL,pr,2,2,0,PER,0.034451,0.034507,5.6e-05,quants_1024/GPTQ/quants_tc1024_pr,76
wavlmL,pr,3,2,0,PER,0.034451,0.03445,-1e-06,quants_1024/GPTQ/quants_tc1024_pr,76
wavlmL,pr,4,2,0,PER,0.034451,0.034454,3e-06,quants_1024/GPTQ/quants_tc1024_pr,77
wavlmL,pr,5,2,0,PER,0.034451,0.034458,7e-06,quants_1024/GPTQ/quants_tc1024_pr,75
wavlmL,pr,6,2,0,PER,0.034451,0.034857,0.000406,quants_1024/GPTQ/quants_tc1024_pr,75
wavlmL,pr,7,2,0,PER,0.034451,0.034673,0.000222,quants_1024/GPTQ/quants_tc1024_pr,75
wavlmL,pr,8,2,0,PER,0.034451,0.034582,0.000131,quants_1024/GPTQ/quants_tc1024_pr,75
wavlmL,pr,9,2,0,PER,0.034451,0.034629,0.000178,quants_1024/GPTQ/quants_tc1024_pr,75
wavlmL,pr,10,2,0,PER,0.034451,0.034342,-0.000109,quants_1024/GPTQ/quants_tc1024_pr,75
wavlmL,pr,11,2,0,PER,0.034451,0.035209,0.000758,quants_1024/GPTQ/quants_tc1024_pr,77
wavlmL,pr,12,2,0,PER,0.034451,0.034861,0.00041,quants_1024/GPTQ/quants_tc1024_pr,76
wavlmL,pr,13,2,0,PER,0.034451,0.035285,0.000834,quants_1024/GPTQ/quants_tc1024_pr,75
wavlmL,pr,14,2,0,PER,0.034451,0.035112,0.000661,quants_1024/GPTQ/quants_tc1024_pr,74
wavlmL,pr,15,2,0,PER,0.034451,0.035327,0.000876,quants_1024/GPTQ/quants_tc1024_pr,76
wavlmL,pr,16,2,0,PER,0.034451,0.03579,0.001339,quants_1024/GPTQ/quants_tc1024_pr,76
wavlmL,pr,17,2,0,PER,0.034451,0.036509,0.002058,quants_1024/GPTQ/quants_tc1024_pr,76
wavlmL,pr,18,2,0,PER,0.034451,0.038279,0.003828,quants_1024/GPTQ/quants_tc1024_pr,77
wavlmL,pr,19,2,0,PER,0.034451,0.040379,0.005928,quants_1024/GPTQ/quants_tc1024_pr,77
wavlmL,pr,20,2,0,PER,0.034451,0.044139,0.009688,quants_1024/GPTQ/quants_tc1024_pr,78
wavlmL,pr,21,2,0,PER,0.034451,0.044582,0.010131,quants_1024/GPTQ/quants_tc1024_pr,78
wavlmL,pr,22,2,0,PER,0.034451,0.053438,0.018987,quants_1024/GPTQ/quants_tc1024_pr,78
wavlmL,pr,23,2,0,PER,0.034451,0.077479,0.043028,quants_1024/GPTQ/quants_tc1024_pr,76
wavlmL,asr,0,2,0,WER,0.06741,0.06664,-0.000771,quants_1024/GPTQ/quants_tc1024_asr,114
wavlmL,asr,1,2,0,WER,0.06741,0.066118,-0.001293,quants_1024/GPTQ/quants_tc1024_asr,114
wavlmL,asr,2,2,0,WER,0.06741,0.066336,-0.001074,quants_1024/GPTQ/quants_tc1024_asr,116
wavlmL,asr,3,2,0,WER,0.06741,0.067143,-0.000268,quants_1024/GPTQ/quants_tc1024_asr,115
wavlmL,asr,4,2,0,WER,0.06741,0.066906,-0.000504,quants_1024/GPTQ/quants_tc1024_asr,114
wavlmL,asr,5,2,0,WER,0.06741,0.066905,-0.000505,quants_1024/GPTQ/quants_tc1024_asr,114
