backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,asr,0.001,4.0,444444444444,WER,0.098178,0.9987882606953757,0.13057393198009487,0.09817846323848597,4,0.0,0.098178,0.098178,0.0,0.0,0.0,1
hubert,asr,0.01,3.9167,444444444443,WER,0.09811,0.9987882606953757,0.13057393198009487,0.09817846323848597,4,0.083,0.100878,0.100539,0.07,2.74,2.42,0
hubert,asr,0.02,3.8333,444444444442,WER,0.098826,0.9987882606953757,0.13057393198009487,0.09817846323848597,4,0.167,0.103578,0.102957,-0.66,4.59,4.01,0
hubert,asr,0.05,3.5833,433344444442,WER,0.100713,0.9987882606953757,0.13057393198009487,0.09817846323848597,4,0.417,0.111677,0.110565,-2.58,9.82,8.91,0
hubert,asr,0.1,3.3333,333333444442,WER,0.104583,0.9987882606953757,0.13057393198009487,0.09817846323848597,4,0.667,0.119775,0.118734,-6.52,12.68,11.92,0
hubert,asr,0.2,3.1667,333333344432,WER,0.109503,0.9987882606953757,0.13057393198009487,0.09817846323848597,4,0.833,0.125175,0.124513,-11.54,12.52,12.05,0
hubert,asr,0.3,3.0833,333333334432,WER,0.111147,0.9987882606953757,0.13057393198009487,0.09817846323848597,4,0.917,0.127874,0.127508,-13.21,13.08,12.83,0
hubert,asr,0.5,2.8333,233333333332,WER,0.133242,0.9987882606953757,0.13057393198009487,0.09817846323848597,3,0.167,0.275276,0.183285,-2.04,51.6,27.3,0
hubert,asr,1.0,2.6667,223333333322,WER,0.17047,0.9987882606953757,0.13057393198009487,0.09817846323848597,3,0.333,0.419979,0.257274,-30.55,59.41,33.74,0
hubert,asr,5.0,2.4167,222333233222,WER,0.474047,0.9987882606953757,0.13057393198009487,0.09817846323848597,3,0.583,0.637032,0.427858,-263.05,25.59,-10.8,0
hubertL,asr,0.001,3.9167,444444444444444444444442,WER,0.073408,0.8519956216833703,0.08660626047123479,0.07338877798911278,4,0.083,0.07449,0.074409,-0.03,1.45,1.35,0
hubertL,asr,0.01,3.9167,444444444444444444444442,WER,0.073408,0.8519956216833703,0.08660626047123479,0.07338877798911278,4,0.083,0.07449,0.074409,-0.03,1.45,1.35,0
hubertL,asr,0.02,3.8333,443444344444444444444442,WER,0.073098,0.8519956216833703,0.08660626047123479,0.07338877798911278,4,0.167,0.075592,0.075443,0.4,3.3,3.11,0
hubertL,asr,0.037,3.5833,333333334444444444444442,WER,0.073624,0.8519956216833703,0.08660626047123479,0.07338877798911278,4,0.417,0.078896,0.078631,-0.32,6.68,6.37,0
hubertL,asr,0.05,3.4583,333333333433444444444442,WER,0.075553,0.8519956216833703,0.08660626047123479,0.07338877798911278,4,0.542,0.080548,0.080276,-2.95,6.2,5.88,0
hubertL,asr,0.062,3.2083,333333333333334343344442,WER,0.078531,0.8519956216833703,0.08660626047123479,0.07338877798911278,4,0.792,0.083853,0.083669,-7.01,6.35,6.14,0
hubertL,asr,0.1,3.0417,333333333333333333334432,WER,0.082619,0.8519956216833703,0.08660626047123479,0.07338877798911278,4,0.958,0.086056,0.086011,-12.58,3.99,3.94,0
hubertL,asr,0.2,2.8333,332322333333333333333332,WER,0.092661,0.8519956216833703,0.08660626047123479,0.07338877798911278,3,0.167,0.214171,0.126774,-6.99,56.74,26.91,0
hubertL,asr,0.3,2.7083,322322233332333333333332,WER,0.103874,0.8519956216833703,0.08660626047123479,0.07338877798911278,3,0.292,0.309845,0.16871,-19.94,66.48,38.43,0
hubertL,asr,0.5,2.5417,223222223332333322333332,WER,0.137404,0.8519956216833703,0.08660626047123479,0.07338877798911278,3,0.458,0.43741,0.246958,-58.65,68.59,44.36,0
hubertL,asr,1.0,2.375,222222223322233322323332,WER,0.252809,0.8519956216833703,0.08660626047123479,0.07338877798911278,3,0.625,0.564975,0.361497,-191.91,55.25,30.07,0
hubertL,asr,5.0,2.0417,222222222222232222222222,WER,0.764305,0.8519956216833703,0.08660626047123479,0.07338877798911278,3,0.958,0.820104,0.774581,-782.51,6.8,1.33,0
w2v2,asr,0.001,4.0,444444444444,WER,0.104118,0.9999637182227614,0.13857723688176218,0.10411809480629974,4,0.0,0.104118,0.104118,0.0,0.0,0.0,1
w2v2,asr,0.01,3.5833,444444444322,WER,0.103943,0.9999637182227614,0.13857723688176218,0.10411809480629974,4,0.417,0.118476,0.11729,0.17,12.27,11.38,0
w2v2,asr,0.02,3.5833,444444444322,WER,0.103943,0.9999637182227614,0.13857723688176218,0.10411809480629974,4,0.417,0.118476,0.11729,0.17,12.27,11.38,0
w2v2,asr,0.05,3.5,444444444222,WER,0.103934,0.9999637182227614,0.13857723688176218,0.10411809480629974,4,0.5,0.121348,0.120118,0.18,14.35,13.47,0
w2v2,asr,0.1,3.25,333444444222,WER,0.107562,0.9999637182227614,0.13857723688176218,0.10411809480629974,4,0.75,0.129962,0.129018,-3.31,17.24,16.63,0
w2v2,asr,0.2,2.9167,333333443222,WER,0.119771,0.9999637182227614,0.13857723688176218,0.10411809480629974,3,0.083,0.210359,0.163387,13.57,43.06,26.69,0
w2v2,asr,0.3,2.75,333333333222,WER,0.140482,0.9999637182227614,0.13857723688176218,0.10411809480629974,3,0.25,0.353924,0.227125,-1.37,60.31,38.15,0
w2v2,asr,0.5,2.75,333333333222,WER,0.140482,0.9999637182227614,0.13857723688176218,0.10411809480629974,3,0.25,0.353924,0.227125,-1.37,60.31,38.15,0
w2v2,asr,1.0,2.6667,332333333222,WER,0.15576,0.9999637182227614,0.13857723688176218,0.10411809480629974,3,0.333,0.425706,0.267787,-12.4,63.41,41.83,0
w2v2,asr,5.0,2.25,232323222222,WER,0.786492,0.9999637182227614,0.13857723688176218,0.10411809480629974,3,0.75,0.784617,0.610114,-467.55,-0.24,-28.91,0
wavlm,asr,0.001,4.0,444444444444,WER,0.094927,0.9985130414140678,0.11348431899924659,0.09492705705783856,4,0.0,0.094927,0.094927,0.0,0.0,0.0,1
wavlm,asr,0.01,3.9167,444444444443,WER,0.095231,0.9985130414140678,0.11348431899924659,0.09492705705783856,4,0.083,0.096473,0.09635,-0.32,1.29,1.16,0
wavlm,asr,0.02,3.9167,444444444443,WER,0.095231,0.9985130414140678,0.11348431899924659,0.09492705705783856,4,0.083,0.096473,0.09635,-0.32,1.29,1.16,0
wavlm,asr,0.037,3.6667,433344444443,WER,0.097168,0.9985130414140678,0.11348431899924659,0.09492705705783856,4,0.333,0.101113,0.100749,-2.36,3.9,3.55,0
wavlm,asr,0.05,3.4167,433333344443,WER,0.098454,0.9985130414140678,0.11348431899924659,0.09492705705783856,4,0.583,0.105752,0.105348,-3.72,6.9,6.54,0
wavlm,asr,0.1,3.1667,333333334442,WER,0.102755,0.9985130414140678,0.11348431899924659,0.09492705705783856,4,0.833,0.110391,0.110157,-8.25,6.92,6.72,0
wavlm,asr,0.2,3.0,333333333432,WER,0.110632,0.9985130414140678,0.11348431899924659,0.09492705705783856,3,0.0,0.113484,0.113484,2.51,2.51,2.51,0
wavlm,asr,0.3,2.8333,332333333332,WER,0.120514,0.9985130414140678,0.11348431899924659,0.09492705705783856,3,0.167,0.260989,0.163057,-6.19,53.82,26.09,0
wavlm,asr,0.5,2.8333,333323333332,WER,0.123443,0.9985130414140678,0.11348431899924659,0.09492705705783856,3,0.167,0.260989,0.163057,-8.78,52.7,24.29,0
wavlm,asr,1.0,2.5833,223323233332,WER,0.160457,0.9985130414140678,0.11348431899924659,0.09492705705783856,3,0.417,0.482246,0.28083,-41.39,66.73,42.86,0
wavlm,asr,5.0,2.25,233222322222,WER,0.656704,0.9985130414140678,0.11348431899924659,0.09492705705783856,3,0.75,0.777256,0.579761,-478.67,15.51,-13.27,0
wavlmL,asr,0.001,3.9167,444444444444444444444442,WER,0.068118,0.4108358318740473,0.07888007482452691,0.06809479606907307,4,0.083,0.068994,0.068934,-0.03,1.27,1.18,0
wavlmL,asr,0.01,3.9167,444444444444444444444442,WER,0.068118,0.4108358318740473,0.07888007482452691,0.06809479606907307,4,0.083,0.068994,0.068934,-0.03,1.27,1.18,0
wavlmL,asr,0.02,3.875,344444444444444444444442,WER,0.068602,0.4108358318740473,0.07888007482452691,0.06809479606907307,4,0.125,0.069443,0.069358,-0.74,1.21,1.09,0
wavlmL,asr,0.033,3.6667,433333434444444444444442,WER,0.068216,0.4108358318740473,0.07888007482452691,0.06809479606907307,4,0.333,0.07169,0.071515,-0.18,4.85,4.61,0
wavlmL,asr,0.05,3.3333,333333333333344344444442,WER,0.07025,0.4108358318740473,0.07888007482452691,0.06809479606907307,4,0.667,0.075285,0.075107,-3.16,6.69,6.47,0
wavlmL,asr,0.1,3.125,333333333333333333344442,WER,0.074836,0.4108358318740473,0.07888007482452691,0.06809479606907307,4,0.875,0.077532,0.077444,-9.9,3.48,3.37,0
wavlmL,asr,0.2,2.875,332233333333333333333332,WER,0.081215,0.4108358318740473,0.07888007482452691,0.06809479606907307,3,0.125,0.120375,0.096952,-2.96,32.53,16.23,0
wavlmL,asr,0.3,2.625,222222332233333333333332,WER,0.090924,0.4108358318740473,0.07888007482452691,0.06809479606907307,3,0.375,0.203363,0.146464,-15.27,55.29,37.92,0
wavlmL,asr,0.5,2.375,222222222233332222333332,WER,0.12816,0.4108358318740473,0.07888007482452691,0.06809479606907307,3,0.625,0.286352,0.221261,-62.47,55.24,42.08,0
wavlmL,asr,1.0,2.2083,222222222223232222233322,WER,0.182595,0.4108358318740473,0.07888007482452691,0.06809479606907307,3,0.792,0.341678,0.29131,-131.48,46.56,37.32,0
wavlmL,asr,5.0,2.0,222222222222222222222222,WER,0.410836,0.4108358318740473,0.07888007482452691,0.06809479606907307,2,0.0,0.410836,0.410836,0.0,0.0,0.0,1
hubert,asv,0.001,3.6667,444444433343,EER,0.069724,0.28160127253446443,0.07942735949098623,0.06940615058324495,4,0.333,0.072747,0.072598,-0.46,4.15,3.96,0
hubert,asv,0.01,3.5,444444333333,EER,0.069883,0.28160127253446443,0.07942735949098623,0.06940615058324495,4,0.5,0.074417,0.074248,-0.69,6.09,5.88,0
hubert,asv,0.02,3.25,434344333332,EER,0.070148,0.28160127253446443,0.07942735949098623,0.06940615058324495,4,0.75,0.076922,0.076794,-1.07,8.81,8.65,0
hubert,asv,0.05,2.75,333333332232,EER,0.079586,0.28160127253446443,0.07942735949098623,0.06940615058324495,3,0.25,0.129971,0.10899,-0.2,38.77,26.98,0
hubert,asv,0.1,2.6667,333333332222,EER,0.081972,0.28160127253446443,0.07942735949098623,0.06940615058324495,3,0.333,0.146819,0.121113,-3.2,44.17,32.32,0
hubert,asv,0.2,2.5833,333333232222,EER,0.084146,0.28160127253446443,0.07942735949098623,0.06940615058324495,3,0.417,0.163666,0.134585,-5.94,48.59,37.48,0
hubert,asv,0.3,2.5,333333222222,EER,0.088865,0.28160127253446443,0.07942735949098623,0.06940615058324495,3,0.5,0.180514,0.149555,-11.88,50.77,40.58,0
hubert,asv,0.5,2.3333,233332222222,EER,0.111612,0.28160127253446443,0.07942735949098623,0.06940615058324495,3,0.667,0.21421,0.184677,-40.52,47.9,39.56,0
hubert,asv,1.0,2.0833,223222222222,EER,0.196182,0.28160127253446443,0.07942735949098623,0.06940615058324495,3,0.917,0.264753,0.253413,-147.0,25.9,22.58,0
hubert,asv,5.0,2.0,222222222222,EER,0.281601,0.28160127253446443,0.07942735949098623,0.06940615058324495,2,0.0,0.281601,0.281601,0.0,0.0,0.0,1
hubertL,asv,0.001,3.8333,443444344444444444444442,EER,0.078738,0.1841993637327678,0.08541887592788969,0.07900318133616116,4,0.167,0.080072,0.080038,0.34,1.67,1.62,0
hubertL,asv,0.01,3.5417,343444344443443333434442,EER,0.080276,0.1841993637327678,0.08541887592788969,0.07900318133616116,4,0.458,0.081944,0.081882,-1.61,2.04,1.96,0
hubertL,asv,0.013,3.2083,433444343343343232233442,EER,0.082874,0.1841993637327678,0.08541887592788969,0.07900318133616116,4,0.792,0.084082,0.084041,-4.9,1.44,1.39,0
hubertL,asv,0.02,3.0417,333444333333343232233342,EER,0.085313,0.1841993637327678,0.08541887592788969,0.07900318133616116,4,0.958,0.085152,0.085141,-7.99,-0.19,-0.2,0
hubertL,asv,0.05,2.6667,333323333333333222222332,EER,0.093054,0.1841993637327678,0.08541887592788969,0.07900318133616116,3,0.333,0.118346,0.110357,-8.94,21.37,15.68,0
hubertL,asv,0.1,2.4583,333323233323323222222222,EER,0.102015,0.1841993637327678,0.08541887592788969,0.07900318133616116,3,0.542,0.138925,0.129517,-19.43,26.57,21.23,0
hubertL,asv,0.2,2.3333,323223223333322222222222,EER,0.11299,0.1841993637327678,0.08541887592788969,0.07900318133616116,3,0.667,0.151273,0.142575,-32.28,25.31,20.75,0
hubertL,asv,0.3,2.25,323223223323222222222222,EER,0.119459,0.1841993637327678,0.08541887592788969,0.07900318133616116,3,0.75,0.159504,0.152004,-39.85,25.11,21.41,0
hubertL,asv,0.5,2.1667,322222223323222222222222,EER,0.13754,0.1841993637327678,0.08541887592788969,0.07900318133616116,3,0.833,0.167736,0.162056,-61.02,18.0,15.13,0
hubertL,asv,1.0,2.0417,222222223222222222222222,EER,0.17614,0.1841993637327678,0.08541887592788969,0.07900318133616116,3,0.958,0.180084,0.178395,-106.21,2.19,1.26,0
hubertL,asv,5.0,2.0,222222222222222222222222,EER,0.184199,0.1841993637327678,0.08541887592788969,0.07900318133616116,2,0.0,0.184199,0.184199,0.0,0.0,0.0,1
w2v2,asv,0.001,4.0,444444444444,EER,0.070308,0.27539766702014845,0.08255567338282077,0.07030752916224814,4,0.0,0.070308,0.070308,0.0,0.0,0.0,1
w2v2,asv,0.01,3.75,444444434334,EER,0.071739,0.27539766702014845,0.08255567338282077,0.07030752916224814,4,0.25,0.07337,0.073188,-2.04,2.22,1.98,0
w2v2,asv,0.014,3.5,444443334432,EER,0.073754,0.27539766702014845,0.08255567338282077,0.07030752916224814,4,0.5,0.076432,0.076186,-4.9,3.5,3.19,0
w2v2,asv,0.02,3.4167,444443334332,EER,0.073436,0.27539766702014845,0.08255567338282077,0.07030752916224814,4,0.583,0.077452,0.077212,-4.45,5.19,4.89,0
w2v2,asv,0.05,3.0,443433223332,EER,0.079215,0.27539766702014845,0.08255567338282077,0.07030752916224814,3,0.0,0.082556,0.082556,4.05,4.05,4.05,0
w2v2,asv,0.1,2.8333,443433222322,EER,0.084464,0.27539766702014845,0.08255567338282077,0.07030752916224814,3,0.167,0.114696,0.100913,-2.31,26.36,16.3,0
w2v2,asv,0.2,2.5833,433332223222,EER,0.093743,0.27539766702014845,0.08255567338282077,0.07030752916224814,3,0.417,0.162907,0.136381,-13.55,42.46,31.26,0
w2v2,asv,0.3,2.5,433332222222,EER,0.100795,0.27539766702014845,0.08255567338282077,0.07030752916224814,3,0.5,0.178977,0.150783,-22.09,43.68,33.15,0
w2v2,asv,0.5,2.25,233322222222,EER,0.150477,0.27539766702014845,0.08255567338282077,0.07030752916224814,3,0.75,0.227187,0.203778,-82.27,33.77,26.16,0
w2v2,asv,1.0,2.1667,233222222222,EER,0.162407,0.27539766702014845,0.08255567338282077,0.07030752916224814,3,0.833,0.243257,0.225298,-96.72,33.24,27.91,0
w2v2,asv,5.0,2.0,222222222222,EER,0.275398,0.27539766702014845,0.08255567338282077,0.07030752916224814,2,0.0,0.275398,0.275398,0.0,0.0,0.0,1
