backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,er,0.001,3.8333,444444444334,ER_ERR,0.387489,0.7037358818418766,0.4291920069504778,0.3953084274543875,4,0.167,0.400956,0.400764,1.98,3.36,3.31,0
hubert,er,0.01,3.8333,444444444334,ER_ERR,0.387489,0.7037358818418766,0.4291920069504778,0.3953084274543875,4,0.167,0.400956,0.400764,1.98,3.36,3.31,0
hubert,er,0.02,3.8333,444444444334,ER_ERR,0.387489,0.7037358818418766,0.4291920069504778,0.3953084274543875,4,0.167,0.400956,0.400764,1.98,3.36,3.31,0
hubert,er,0.05,3.75,444444434433,ER_ERR,0.397046,0.7037358818418766,0.4291920069504778,0.3953084274543875,4,0.25,0.403779,0.40352,-0.44,1.67,1.6,0
hubert,er,0.1,3.5833,344444334433,ER_ERR,0.406603,0.7037358818418766,0.4291920069504778,0.3953084274543875,4,0.417,0.409427,0.409089,-2.86,0.69,0.61,0
hubert,er,0.2,3.0,333343333332,ER_ERR,0.426586,0.7037358818418766,0.4291920069504778,0.3953084274543875,3,0.0,0.429192,0.429192,0.61,0.61,0.61,0
hubert,er,0.3,3.0,333343333332,ER_ERR,0.426586,0.7037358818418766,0.4291920069504778,0.3953084274543875,3,0.0,0.429192,0.429192,0.61,0.61,0.61,0
hubert,er,0.5,2.9167,333333333332,ER_ERR,0.439618,0.7037358818418766,0.4291920069504778,0.3953084274543875,3,0.083,0.452071,0.447248,-2.43,2.75,1.71,0
hubert,er,1.0,2.5833,343232223232,ER_ERR,0.531712,0.7037358818418766,0.4291920069504778,0.3953084274543875,3,0.417,0.543585,0.527393,-23.89,2.18,-0.82,0
hubert,er,5.0,2.1667,223232222222,ER_ERR,0.716768,0.7037358818418766,0.4291920069504778,0.3953084274543875,3,0.833,0.657979,0.648062,-67.0,-8.93,-10.6,0
hubertL,er,0.001,3.8333,344444444344444443434444,ER_ERR,0.390964,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.167,0.418621,0.418519,5.66,6.61,6.58,0
hubertL,er,0.01,3.875,444444444444344443434444,ER_ERR,0.404865,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.125,0.417572,0.417491,2.31,3.04,3.02,0
hubertL,er,0.02,3.875,444444444444444443434443,ER_ERR,0.402259,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.125,0.417572,0.417491,2.94,3.67,3.65,0
hubertL,er,0.05,3.7917,444444444444344443434442,ER_ERR,0.404865,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.208,0.419671,0.419549,2.31,3.53,3.5,0
hubertL,er,0.1,3.75,344444444344444443434442,ER_ERR,0.390096,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.25,0.420721,0.420582,5.87,7.28,7.25,0
hubertL,er,0.2,3.75,344444444344444443434442,ER_ERR,0.390096,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.25,0.420721,0.420582,5.87,7.28,7.25,0
hubertL,er,0.3,3.625,344434443343344443444442,ER_ERR,0.398784,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.375,0.423871,0.423697,3.77,5.92,5.88,0
hubertL,er,0.5,3.625,344434443343344443444442,ER_ERR,0.398784,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.375,0.423871,0.423697,3.77,5.92,5.88,0
hubertL,er,1.0,3.3333,343433333343344443423442,ER_ERR,0.408341,0.629887054735013,0.43961772371850566,0.4144222415291051,4,0.667,0.431219,0.431053,1.47,5.31,5.27,0
hubertL,er,5.0,2.375,323322222323322232222242,ER_ERR,0.556038,0.629887054735013,0.43961772371850566,0.4144222415291051,3,0.625,0.558536,0.550418,-26.48,0.45,-1.02,0
w2v2,er,0.001,3.75,444444444324,ER_ERR,0.465682,0.7506516072980017,0.45525629887054736,0.43788010425716767,4,0.25,0.442224,0.442161,-6.35,-5.3,-5.32,0
w2v2,er,0.01,3.5833,444444433324,ER_ERR,0.456994,0.7506516072980017,0.45525629887054736,0.43788010425716767,4,0.417,0.44512,0.445038,-4.37,-2.67,-2.69,0
w2v2,er,0.02,3.6667,444444433424,ER_ERR,0.446568,0.7506516072980017,0.45525629887054736,0.43788010425716767,4,0.333,0.443672,0.443597,-1.98,-0.65,-0.67,0
w2v2,er,0.05,3.5833,444444433324,ER_ERR,0.456994,0.7506516072980017,0.45525629887054736,0.43788010425716767,4,0.417,0.44512,0.445038,-4.37,-2.67,-2.69,0
w2v2,er,0.1,3.5833,444444433324,ER_ERR,0.456994,0.7506516072980017,0.45525629887054736,0.43788010425716767,4,0.417,0.44512,0.445038,-4.37,-2.67,-2.69,0
w2v2,er,0.2,3.5833,444444433324,ER_ERR,0.456994,0.7506516072980017,0.45525629887054736,0.43788010425716767,4,0.417,0.44512,0.445038,-4.37,-2.67,-2.69,0
w2v2,er,0.3,3.3333,444444333322,ER_ERR,0.486533,0.7506516072980017,0.45525629887054736,0.43788010425716767,4,0.667,0.449464,0.449389,-11.11,-8.25,-8.27,0
w2v2,er,0.5,3.1667,443443333322,ER_ERR,0.498697,0.7506516072980017,0.45525629887054736,0.43788010425716767,4,0.833,0.45236,0.452313,-13.89,-10.24,-10.25,0
w2v2,er,1.0,3.0,344443332222,ER_ERR,0.476977,0.7506516072980017,0.45525629887054736,0.43788010425716767,3,0.0,0.455256,0.455256,-4.77,-4.77,-4.77,0
w2v2,er,5.0,2.4167,233333222222,ER_ERR,0.642919,0.7506516072980017,0.45525629887054736,0.43788010425716767,3,0.583,0.62757,0.609461,-41.22,-2.45,-5.49,0
wavlm,er,0.001,3.75,444444444342,ER_ERR,0.43093,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.25,0.444613,0.4446,3.5,3.08,3.07,0
wavlm,er,0.01,3.6667,444344444342,ER_ERR,0.41616,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.333,0.443962,0.443946,6.81,6.26,6.26,0
wavlm,er,0.02,3.6667,444344444342,ER_ERR,0.41616,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.333,0.443962,0.443946,6.81,6.26,6.26,0
wavlm,er,0.05,3.6667,444344444342,ER_ERR,0.41616,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.333,0.443962,0.443946,6.81,6.26,6.26,0
wavlm,er,0.1,3.6667,444344444342,ER_ERR,0.41616,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.333,0.443962,0.443946,6.81,6.26,6.26,0
wavlm,er,0.2,3.6667,444344444342,ER_ERR,0.41616,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.333,0.443962,0.443946,6.81,6.26,6.26,0
wavlm,er,0.3,3.6667,444344444342,ER_ERR,0.41616,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.333,0.443962,0.443946,6.81,6.26,6.26,0
wavlm,er,0.5,3.4167,444344333342,ER_ERR,0.429192,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.583,0.442007,0.44199,3.89,2.9,2.9,0
wavlm,er,1.0,3.25,443334333432,ER_ERR,0.43093,0.7028670721112077,0.43874891398783666,0.4465682015638575,4,0.75,0.440704,0.440691,3.5,2.22,2.21,0
wavlm,er,5.0,2.5,333322332222,ER_ERR,0.528236,0.7028670721112077,0.43874891398783666,0.4465682015638575,3,0.5,0.570808,0.555322,-20.4,7.46,4.88,0
wavlmL,er,0.001,3.7917,444444444443444344344442,ER_ERR,0.334492,0.5925282363162467,0.3475238922675934,0.3353605560382276,4,0.208,0.337895,0.337859,0.26,1.01,1.0,0
wavlmL,er,0.01,3.7917,444444444443444344344442,ER_ERR,0.334492,0.5925282363162467,0.3475238922675934,0.3353605560382276,4,0.208,0.337895,0.337859,0.26,1.01,1.0,0
wavlmL,er,0.02,3.7917,444444444443444344344442,ER_ERR,0.334492,0.5925282363162467,0.3475238922675934,0.3353605560382276,4,0.208,0.337895,0.337859,0.26,1.01,1.0,0
wavlmL,er,0.05,3.75,344444444443444344344442,ER_ERR,0.334492,0.5925282363162467,0.3475238922675934,0.3353605560382276,4,0.25,0.338401,0.338361,0.26,1.16,1.14,0
wavlmL,er,0.1,3.7083,444344444434443444334442,ER_ERR,0.34318,0.5925282363162467,0.3475238922675934,0.3353605560382276,4,0.292,0.338908,0.338864,-2.33,-1.26,-1.27,0
wavlmL,er,0.2,3.5,343344344434443434334342,ER_ERR,0.34318,0.5925282363162467,0.3475238922675934,0.3353605560382276,4,0.5,0.341442,0.341388,-2.33,-0.51,-0.52,0
wavlmL,er,0.3,3.375,343343334434443433334342,ER_ERR,0.332754,0.5925282363162467,0.3475238922675934,0.3353605560382276,4,0.625,0.342963,0.342912,0.78,2.98,2.96,0
