backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,asr,0.001,4.0,444444444444,WER,0.099504,1.0159775733885315,0.12721749821499737,0.09950352792369348,4,0.0,0.099504,0.099504,0.0,0.0,0.0,1
hubert,asr,0.01,3.9167,444444444443,WER,0.099646,1.0159775733885315,0.12721749821499737,0.09950352792369348,4,0.083,0.101813,0.101562,-0.14,2.13,1.89,0
hubert,asr,0.02,3.8333,444444444442,WER,0.099687,1.0159775733885315,0.12721749821499737,0.09950352792369348,4,0.167,0.104123,0.103663,-0.18,4.26,3.84,0
hubert,asr,0.05,3.5,333344444442,WER,0.100802,1.0159775733885315,0.12721749821499737,0.09950352792369348,4,0.5,0.113361,0.11251,-1.3,11.08,10.41,0
hubert,asr,0.071,3.4167,333334444442,WER,0.101496,1.0159775733885315,0.12721749821499737,0.09950352792369348,4,0.583,0.11567,0.114838,-2.0,12.25,11.62,0
hubert,asr,0.1,3.1667,333333344432,WER,0.105901,1.0159775733885315,0.12721749821499737,0.09950352792369348,4,0.833,0.122599,0.122113,-6.43,13.62,13.28,0
hubert,asr,0.2,3.0833,333333334432,WER,0.111134,1.0159775733885315,0.12721749821499737,0.09950352792369348,4,0.917,0.124908,0.124639,-11.69,11.03,10.84,0
hubert,asr,0.3,3.0,233333334432,WER,0.113122,1.0159775733885315,0.12721749821499737,0.09950352792369348,3,0.0,0.127217,0.127217,11.08,11.08,11.08,0
hubert,asr,0.5,2.75,223333333332,WER,0.137064,1.0159775733885315,0.12721749821499737,0.09950352792369348,3,0.25,0.349408,0.213861,-7.74,60.77,35.91,0
hubert,asr,1.0,2.6667,222333333332,WER,0.152141,1.0159775733885315,0.12721749821499737,0.09950352792369348,3,0.333,0.423471,0.254288,-19.59,64.07,40.17,0
hubert,asr,5.0,2.4167,222332333222,WER,0.360615,1.0159775733885315,0.12721749821499737,0.09950352792369348,3,0.583,0.645661,0.427475,-183.46,44.15,15.64,0
hubertL,asr,0.001,3.9167,444444444444444444444442,WER,0.072424,0.5136844242469825,0.08380855049617933,0.07236503973326054,4,0.083,0.073319,0.073256,-0.08,1.22,1.14,0
hubertL,asr,0.01,3.9167,444444444444444444444442,WER,0.072424,0.5136844242469825,0.08380855049617933,0.07236503973326054,4,0.083,0.073319,0.073256,-0.08,1.22,1.14,0
hubertL,asr,0.02,3.5417,333333333444444444444442,WER,0.072463,0.5136844242469825,0.08380855049617933,0.07236503973326054,4,0.458,0.07761,0.077402,-0.14,6.63,6.38,0
hubertL,asr,0.039,3.375,333333333333344444444442,WER,0.074899,0.5136844242469825,0.08380855049617933,0.07236503973326054,4,0.625,0.079517,0.079319,-3.5,5.81,5.57,0
hubertL,asr,0.05,3.25,333333333333333444444432,WER,0.075987,0.5136844242469825,0.08380855049617933,0.07236503973326054,4,0.75,0.080948,0.080788,-5.01,6.13,5.94,0
hubertL,asr,0.1,2.875,222333333333333333334332,WER,0.081328,0.5136844242469825,0.08380855049617933,0.07236503973326054,3,0.125,0.137543,0.105127,2.96,40.87,22.64,0
hubertL,asr,0.2,2.625,222222223333333333333332,WER,0.089916,0.5136844242469825,0.08380855049617933,0.07236503973326054,3,0.375,0.245012,0.165412,-7.29,63.3,45.64,0
hubertL,asr,0.3,2.5417,222222223332333333333322,WER,0.096872,0.5136844242469825,0.08380855049617933,0.07236503973326054,3,0.458,0.280835,0.192391,-15.59,65.51,49.65,0
hubertL,asr,0.5,2.4167,222222222322233333333322,WER,0.117959,0.5136844242469825,0.08380855049617933,0.07236503973326054,3,0.583,0.334569,0.241329,-40.75,64.74,51.12,0
hubertL,asr,1.0,2.25,222222222322233322233222,WER,0.195071,0.5136844242469825,0.08380855049617933,0.07236503973326054,3,0.75,0.406215,0.326471,-132.76,51.98,40.25,0
hubertL,asr,5.0,2.0,222222222222222222222222,WER,0.513684,0.5136844242469825,0.08380855049617933,0.07236503973326054,2,0.0,0.513684,0.513684,0.0,0.0,0.0,1
w2v2,asr,0.001,3.8333,444444444433,WER,0.101133,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.167,0.106571,0.105903,-0.25,5.1,4.5,0
w2v2,asr,0.01,3.5833,444444444322,WER,0.100474,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.417,0.115101,0.113905,0.41,12.71,11.79,0
w2v2,asr,0.02,3.5833,444444444322,WER,0.100474,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.417,0.115101,0.113905,0.41,12.71,11.79,0
w2v2,asr,0.05,3.3333,343444444222,WER,0.102768,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.667,0.123631,0.122511,-1.87,16.88,16.12,0
w2v2,asr,0.1,3.0833,333334444222,WER,0.107672,0.9910992304581971,0.13500520090840812,0.10088392115216963,4,0.917,0.132162,0.131767,-6.73,18.53,18.29,0
w2v2,asr,0.2,2.9167,333333443222,WER,0.114958,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.083,0.206346,0.159403,14.85,44.29,27.88,0
w2v2,asr,0.3,2.8333,233333443222,WER,0.122859,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.167,0.277688,0.188211,9.0,55.76,34.72,0
w2v2,asr,0.5,2.6667,233333333222,WER,0.146766,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.333,0.42037,0.262385,-8.71,65.09,44.06,0
w2v2,asr,1.0,2.5833,223333333222,WER,0.161939,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.417,0.491711,0.309804,-19.95,67.07,47.73,0
w2v2,asr,5.0,2.3333,222333322222,WER,0.42487,0.9910992304581971,0.13500520090840812,0.10088392115216963,3,0.667,0.705735,0.509951,-214.71,39.8,16.68,0
wavlm,asr,0.001,4.0,444444444444,WER,0.093008,0.9895976414647515,0.11378778583321389,0.0930079082982086,4,0.0,0.093008,0.093008,0.0,0.0,0.0,1
wavlm,asr,0.01,3.9167,444444444443,WER,0.093525,0.9895976414647515,0.11378778583321389,0.0930079082982086,4,0.083,0.09474,0.094584,-0.56,1.28,1.12,0
wavlm,asr,0.02,3.5833,333344444443,WER,0.093889,0.9895976414647515,0.11378778583321389,0.0930079082982086,4,0.417,0.101666,0.10116,-0.95,7.65,7.19,0
wavlm,asr,0.05,3.3333,333333344443,WER,0.096307,0.9895976414647515,0.11378778583321389,0.0930079082982086,4,0.667,0.106861,0.106391,-3.55,9.88,9.48,0
wavlm,asr,0.1,3.0833,323333334442,WER,0.099041,0.9895976414647515,0.11378778583321389,0.0930079082982086,4,0.917,0.112056,0.111892,-6.49,11.61,11.49,0
wavlm,asr,0.2,2.8333,223333333432,WER,0.106714,0.9895976414647515,0.11378778583321389,0.0930079082982086,3,0.167,0.259756,0.163176,6.22,58.92,34.6,0
wavlm,asr,0.3,2.75,223333333332,WER,0.115731,0.9895976414647515,0.11378778583321389,0.0930079082982086,3,0.25,0.33274,0.195405,-1.71,65.22,40.77,0
wavlm,asr,0.5,2.6667,223323333332,WER,0.122777,0.9895976414647515,0.11378778583321389,0.0930079082982086,3,0.333,0.405724,0.234,-7.9,69.74,47.53,0
wavlm,asr,1.0,2.5,222332233332,WER,0.159847,0.9895976414647515,0.11378778583321389,0.0930079082982086,3,0.5,0.551693,0.335565,-40.48,71.03,52.37,0
wavlm,asr,5.0,2.25,222322322322,WER,0.462547,0.9895976414647515,0.11378778583321389,0.0930079082982086,3,0.75,0.770645,0.576259,-306.5,39.98,19.73,0
