backbone,task,lam,avg_bit,seq,metric,value,uni2,uni3,uni4,ceil_bits,bit_saved,interp_lin,interp_log,vs_ceil_%,vs_interp_%,vs_interp_log_%,trivial
hubert,er,0.001,4.0,444444444444,ER_ERR,0.398784,0.6811468288444831,0.40660295395308427,0.3987836663770634,4,0.0,0.398784,0.398784,0.0,0.0,0.0,1
hubert,er,0.01,4.0,444444444444,ER_ERR,0.398784,0.6811468288444831,0.40660295395308427,0.3987836663770634,4,0.0,0.398784,0.398784,0.0,0.0,0.0,1
hubert,er,0.02,4.0,444444444444,ER_ERR,0.398784,0.6811468288444831,0.40660295395308427,0.3987836663770634,4,0.0,0.398784,0.398784,0.0,0.0,0.0,1
hubert,er,0.05,3.6667,344444444432,ER_ERR,0.402259,0.6811468288444831,0.40660295395308427,0.3987836663770634,4,0.333,0.40139,0.401373,-0.87,-0.22,-0.22,0
hubert,er,0.1,3.4167,343444334432,ER_ERR,0.403128,0.6811468288444831,0.40660295395308427,0.3987836663770634,4,0.583,0.403345,0.403326,-1.09,0.05,0.05,0
hubert,er,0.2,3.0,332433333432,ER_ERR,0.42311,0.6811468288444831,0.40660295395308427,0.3987836663770634,3,0.0,0.406603,0.406603,-4.06,-4.06,-4.06,0
hubert,er,0.3,2.9167,332433333332,ER_ERR,0.410078,0.6811468288444831,0.40660295395308427,0.3987836663770634,3,0.083,0.429482,0.424466,-0.85,4.52,3.39,0
hubert,er,0.5,2.8333,333333333322,ER_ERR,0.41616,0.6811468288444831,0.40660295395308427,0.3987836663770634,3,0.167,0.45236,0.443114,-2.35,8.0,6.08,0
hubert,er,1.0,2.4167,232333222322,ER_ERR,0.460469,0.6811468288444831,0.40660295395308427,0.3987836663770634,3,0.583,0.566754,0.549387,-13.25,18.75,16.18,0
hubert,er,5.0,2.1667,232232222222,ER_ERR,0.562989,0.6811468288444831,0.40660295395308427,0.3987836663770634,3,0.833,0.63539,0.625023,-38.46,11.39,9.93,0
