backbone,task,method,lo,hi,topk,n_layers,hi_layers,avg_bits_linear,W_GB,calib,scores
w2v2,pr,taq-is,3,4,0.25,12,0 1 10,3.25,0.0512,"train_pool(pr, 3600s, n=450)","[0.457721, 0.300551, 0.015498, -0.02458, 0.251471, 0.294272, 0.201942, -0.15045, -0.212827, 0.099147, 0.427327, -1.660074]"
w2v2,pr,taq-kl,3,4,0.25,12,6 7 8,3.25,0.0512,"train_pool(pr, 3600s, n=450)","[0.042249, 0.059815, 0.085048, 0.113207, 0.150037, 0.288239, 0.414893, 0.512832, 0.368625, 0.019115, 0.001403, 0.001432]"
w2v2,asr,taq-is,3,4,0.25,12,0 1 10,3.25,0.0512,"train_pool(asr, 3600s, n=450)","[0.457721, 0.300551, 0.015498, -0.02458, 0.251471, 0.294272, 0.201942, -0.15045, -0.212827, 0.099147, 0.427327, -1.660074]"
w2v2,asr,taq-kl,3,4,0.25,12,5 6 7,3.25,0.0512,"train_pool(asr, 3600s, n=450)","[0.034349, 0.046142, 0.06815, 0.101175, 0.179044, 0.381261, 0.364206, 0.201862, 0.072834, 0.00219, 0.001215, 0.001277]"
w2v2,ks,taq-is,3,4,0.25,12,0 1 2,3.25,0.0512,"train_pool(ks, 3600s, n=3600)","[1.116497, 0.665912, 0.295629, 0.042422, 0.183364, 0.127151, 0.015636, -0.331496, -0.167298, 0.099165, -0.19475, -1.852231]"
w2v2,ks,taq-kl,3,4,0.25,12,2 3 4,3.25,0.0512,"train_pool(ks, 3600s, n=3600)","[0.040236, 0.061116, 0.06638, 0.064954, 0.070434, 0.033113, 0.014242, 0.006122, 0.001709, 0.000748, 0.001418, 0.000231]"
w2v2,ic,taq-is,3,4,0.25,12,0 1 5,3.25,0.0512,"train_pool(ic, 3600s, n=600)","[0.965169, 0.711579, 0.019479, -0.070312, -0.170369, 0.288018, 0.147413, -0.198285, -0.518457, -0.528001, 0.260829, -0.907063]"
w2v2,ic,taq-kl,3,4,0.25,12,2 3 4,3.25,0.0512,"train_pool(ic, 3600s, n=600)","[0.211488, 0.257371, 0.42221, 0.558096, 0.435652, 0.328816, 0.162931, 0.04034, 0.01223, 0.003316, 0.0053, 0.000341]"
w2v2,asv,taq-is,3,4,0.25,12,0 1 10,3.25,0.0512,"train_pool(asv, 3600s, n=450)","[0.439905, 0.41457, -0.044803, 0.077217, 0.278742, 0.1884, 0.182153, -0.091564, -0.328693, 0.022614, 0.412375, -1.550915]"
w2v2,asv,taq-kl-cos,3,4,0.25,12,1 2 3,3.25,0.0512,"train_pool(asv, 3600s, n=450)","[0.021949, 0.024587, 0.023335, 0.024551, 0.013996, 0.011416, 0.009342, 0.008838, 0.005038, 0.002346, 0.00163, 0.000588]"
wavlm,pr,taq-is,3,4,0.25,12,6 9 10,3.25,0.05121,"train_pool(pr, 3600s, n=450)","[-0.420856, -0.623056, -0.313111, -0.112198, 0.349301, 0.501198, 0.65232, 0.461102, 0.550715, 0.602978, 0.577345, -2.225738]"
wavlm,pr,taq-kl,3,4,0.25,12,8 9 10,3.25,0.05121,"train_pool(pr, 3600s, n=450)","[0.016452, 0.025808, 0.029914, 0.028977, 0.028581, 0.033678, 0.04113, 0.069933, 0.139231, 0.264439, 0.238836, 0.000564]"
wavlm,asr,taq-is,3,4,0.25,12,6 9 10,3.25,0.05121,"train_pool(asr, 3600s, n=450)","[-0.420856, -0.623056, -0.313111, -0.112198, 0.349301, 0.501198, 0.65232, 0.461102, 0.550715, 0.602978, 0.577345, -2.225738]"
wavlm,asr,taq-kl,3,4,0.25,12,7 8 9,3.25,0.05121,"train_pool(asr, 3600s, n=450)","[0.022145, 0.032429, 0.038384, 0.034686, 0.031255, 0.035089, 0.044835, 0.087191, 0.118271, 0.112308, 0.054624, 0.020902]"
wavlm,ks,taq-is,3,4,0.25,12,4 5 10,3.25,0.05121,"train_pool(ks, 3600s, n=3600)","[-0.013235, -0.318504, 0.28813, 0.233215, 0.535314, 0.841884, 0.34212, 0.364237, -0.383485, 0.175944, 0.563228, -2.628847]"
wavlm,ks,taq-kl,3,4,0.25,12,0 1 2,3.25,0.05121,"train_pool(ks, 3600s, n=3600)","[0.019114, 0.021405, 0.018212, 0.012932, 0.012201, 0.007282, 0.00891, 0.007856, 0.008494, 0.003994, 0.002307, 0.001184]"
wavlm,ic,taq-is,3,4,0.25,12,0 3 4,3.25,0.05121,"train_pool(ic, 3600s, n=600)","[0.735102, 0.17754, 0.543203, 0.835348, 0.702143, 0.552703, 0.351738, -0.606014, -0.116023, -1.065519, 0.24047, -2.35069]"
wavlm,ic,taq-kl,3,4,0.25,12,0 7 8,3.25,0.05121,"train_pool(ic, 3600s, n=600)","[0.188358, 0.120415, 0.113481, 0.092116, 0.06998, 0.055604, 0.103744, 0.165706, 0.159514, 0.114415, 0.027982, 0.024425]"
wavlm,asv,taq-is,3,4,0.25,12,3 4 6,3.25,0.05121,"train_pool(asv, 3600s, n=450)","[-0.455866, -0.329051, -0.157661, 0.666684, 0.707369, 0.283197, 0.559351, 0.281903, 0.219738, 0.383774, 0.422277, -2.581715]"
wavlm,asv,taq-kl-cos,3,4,0.25,12,0 1 2,3.25,0.05121,"train_pool(asv, 3600s, n=450)","[0.014622, 0.01674, 0.016782, 0.012763, 0.007611, 0.004776, 0.002287, 0.002086, 0.001916, 0.001708, 0.000681, 0.000877]"
hubert,pr,taq-is,3,4,0.25,12,6 7 9,3.25,0.0512,"train_pool(pr, 3600s, n=450)","[0.223255, -0.112857, -0.286455, -0.548463, -0.025857, 0.362874, 0.562313, 0.666347, 0.524978, 0.598119, 0.504802, -2.469056]"
hubert,pr,taq-kl,3,4,0.25,12,7 8 9,3.25,0.0512,"train_pool(pr, 3600s, n=450)","[0.029225, 0.036028, 0.045012, 0.056536, 0.061725, 0.081354, 0.106599, 0.231885, 0.369608, 0.452118, 0.161866, 1e-06]"
hubert,asr,taq-is,3,4,0.25,12,6 7 9,3.25,0.0512,"train_pool(asr, 3600s, n=450)","[0.223255, -0.112857, -0.286455, -0.548463, -0.025857, 0.362874, 0.562313, 0.666347, 0.524978, 0.598119, 0.504802, -2.469056]"
hubert,asr,taq-kl,3,4,0.25,12,6 7 8,3.25,0.0512,"train_pool(asr, 3600s, n=450)","[0.036008, 0.044687, 0.052758, 0.07031, 0.076222, 0.115103, 0.172778, 0.319984, 0.326728, 0.167039, 0.038005, 0.003839]"
hubert,ks,taq-is,3,4,0.25,12,0 4 5,3.25,0.0512,"train_pool(ks, 3600s, n=3600)","[0.987363, 0.124782, 0.344716, 0.21146, 0.497786, 0.549102, 0.275791, 0.187509, -0.131633, 0.097966, -0.081322, -3.063518]"
