kind,task,budget,seq,avg,lo,hi,n_layers,calib,changed
taq-is-p34,pr,3.3333,333333333444443333344334,3.3333,3,4,24,"train_pool(pr, 3600s, n=450)",
taq-is-p34,pr,3.6667,333444444444444343344334,3.6667,3,4,24,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.3333,333333333333444444443333,3.3333,3,4,24,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.6667,433333444443444444444433,3.6667,3,4,24,"train_pool(pr, 3600s, n=450)",
taq-is-p34,asr,3.3333,333333333444443333344334,3.3333,3,4,24,"train_pool(asr, 3600s, n=450)",
taq-is-p34,asr,3.6667,333444444444444343344334,3.6667,3,4,24,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.3333,444344444333333333333333,3.3333,3,4,24,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.6667,444344444333444444443333,3.6667,3,4,24,"train_pool(asr, 3600s, n=450)",
taq-is-p34,ks,3.3333,444444343333333333333334,3.3333,3,4,24,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ks,3.6667,444444444444433334334334,3.6667,3,4,24,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.3333,333333333333444444443333,3.3333,3,4,24,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.6667,333334444444444444444333,3.6667,3,4,24,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ic,3.3333,333333344344443333343334,3.3333,3,4,24,"train_pool(ic, 3600s, n=600)",
taq-is-p34,ic,3.6667,333434444444443434444334,3.6667,3,4,24,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.3333,333333334333444444433333,3.3333,3,4,24,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.6667,333344444444444444443333,3.6667,3,4,24,"train_pool(ic, 3600s, n=600)",
taq-is-p34,asv,3.3333,333333333444443343343334,3.3333,3,4,24,"train_pool(asv, 3600s, n=450)",
taq-is-p34,asv,3.6667,333443444444443344444334,3.6667,3,4,24,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.3333,444333333333444443333333,3.3333,3,4,24,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.6667,444444443333444444443333,3.6667,3,4,24,"train_pool(asv, 3600s, n=450)",
