kind,task,budget,seq,avg,lo,hi,n_layers,calib,changed
taq-is-p34,pr,3.3333,443334333343,3.3333,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-is-p34,pr,3.6667,444344433443,3.6667,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.3333,333334444333,3.3333,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.6667,344444444333,3.6667,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-is-p34,asr,3.3333,443334333343,3.3333,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-is-p34,asr,3.6667,444344433443,3.6667,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.3333,333344443333,3.3333,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.6667,344444444333,3.6667,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-is-p34,ks,3.3333,444343333333,3.3333,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ks,3.6667,444444433433,3.6667,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.3333,344443333333,3.3333,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.6667,444444443333,3.6667,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ic,3.3333,443334333343,3.3333,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-is-p34,ic,3.6667,444444433343,3.6667,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.3333,334444333333,3.3333,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.6667,444444443333,3.6667,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-is-p34,asv,3.3333,443343333343,3.3333,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-is-p34,asv,3.6667,443444433443,3.6667,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.3333,444433333333,3.3333,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.6667,444444443333,3.6667,3,4,12,"train_pool(asv, 3600s, n=450)",
