kind,task,budget,seq,avg,lo,hi,n_layers,calib,changed
taq-is-p34,pr,3.3333,333333434443,3.3333,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-is-p34,pr,3.6667,333444444443,3.6667,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.3333,333333344443,3.3333,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.6667,334434444443,3.6667,3,4,12,"train_pool(pr, 3600s, n=450)",
taq-is-p34,asr,3.3333,333333434443,3.3333,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-is-p34,asr,3.6667,333444444443,3.6667,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.3333,333333344443,3.3333,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.6667,334434444443,3.6667,3,4,12,"train_pool(asr, 3600s, n=450)",
taq-is-p34,ks,3.3333,333344343343,3.3333,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ks,3.6667,334444443443,3.6667,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.3333,444433333333,3.3333,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.6667,444443444333,3.6667,3,4,12,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ic,3.3333,433444333333,3.3333,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-is-p34,ic,3.6667,444444433343,3.6667,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.3333,443333344333,3.3333,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.6667,444433444433,3.6667,3,4,12,"train_pool(ic, 3600s, n=600)",
taq-is-p34,asv,3.3333,333443433343,3.3333,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-is-p34,asv,3.6667,333444444443,3.6667,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.3333,444433333333,3.3333,3,4,12,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.6667,444444443333,3.6667,3,4,12,"train_pool(asv, 3600s, n=450)",
