kind,task,budget,seq,avg,lo,hi,n_layers,calib,changed
taq-is-p34,pr,3.3333,333334434444333333343334,3.3333,3,4,24,"train_pool(pr, 3600s, n=450)",
taq-is-p34,pr,3.6667,334444444444434334344334,3.6667,3,4,24,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.3333,333333333333344444444333,3.3333,3,4,24,"train_pool(pr, 3600s, n=450)",
taq-kl-p34,pr,3.6667,433333334444444444444443,3.6667,3,4,24,"train_pool(pr, 3600s, n=450)",
taq-is-p34,asr,3.3333,333334434444333333343334,3.3333,3,4,24,"train_pool(asr, 3600s, n=450)",
taq-is-p34,asr,3.6667,334444444444434334344334,3.6667,3,4,24,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.3333,333333333443344444433333,3.3333,3,4,24,"train_pool(asr, 3600s, n=450)",
taq-kl-p34,asr,3.6667,443333344444444444444333,3.6667,3,4,24,"train_pool(asr, 3600s, n=450)",
taq-is-p34,ks,3.3333,333344444443333333333334,3.3333,3,4,24,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ks,3.6667,344444444444443333344334,3.6667,3,4,24,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.3333,433333344443343443333333,3.3333,3,4,24,"train_pool(ks, 3600s, n=3600)",
taq-kl-p34,ks,3.6667,444333444444444444433333,3.6667,3,4,24,"train_pool(ks, 3600s, n=3600)",
taq-is-p34,ic,3.3333,333433344333333344344334,3.3333,3,4,24,"train_pool(ic, 3600s, n=600)",
taq-is-p34,ic,3.6667,333444444344443344444334,3.6667,3,4,24,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.3333,333333333444444344333333,3.3333,3,4,24,"train_pool(ic, 3600s, n=600)",
taq-kl-p34,ic,3.6667,443333344444444444444333,3.6667,3,4,24,"train_pool(ic, 3600s, n=600)",
taq-is-p34,asv,3.3333,333433334444333333344334,3.3333,3,4,24,"train_pool(asv, 3600s, n=450)",
taq-is-p34,asv,3.6667,333444444444433344444334,3.6667,3,4,24,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.3333,444443444333333333333333,3.3333,3,4,24,"train_pool(asv, 3600s, n=450)",
taq-kl-p34,asv,3.6667,444444444443344444333333,3.6667,3,4,24,"train_pool(asv, 3600s, n=450)",
