backbone,task,method,lo,hi,topk,n_layers,hi_layers,avg_bits_linear,W_GB,calib,scores
w2v2,er,taq-is,3,4,0.25,12,0 1 5,3.25,0.0512,"train_pool(er/fold2, 3600s, n=600)","[0.873757, 0.50353, -0.089581, -0.282065, -0.093635, 0.485695, 0.306466, 0.028383, -0.321584, -0.238577, 0.094485, -1.266872]"
w2v2,er,taq-kl,3,4,0.25,12,1 2 3,3.25,0.0512,"train_pool(er/fold2, 3600s, n=600)","[0.091309, 0.092327, 0.140171, 0.13958, 0.0701, 0.04967, 0.03643, 0.033843, 0.031054, 0.005909, 0.008931, 0.000787]"
wavlm,er,taq-is,3,4,0.25,12,3 4 5,3.25,0.05121,"train_pool(er/fold2, 3600s, n=600)","[0.094256, -0.260903, 0.32144, 0.577664, 0.891553, 0.866835, 0.217339, 0.185256, 0.045805, -0.691393, 0.298143, -2.545993]"
wavlm,er,taq-kl,3,4,0.25,12,0 1 2,3.25,0.05121,"train_pool(er/fold2, 3600s, n=600)","[0.103341, 0.061086, 0.093461, 0.044663, 0.03916, 0.021826, 0.02891, 0.046342, 0.04815, 0.022758, 0.004209, 0.002846]"
hubert,er,taq-is,3,4,0.25,12,0 7 8,3.25,0.0512,"train_pool(er/fold2, 3600s, n=600)","[1.057278, 0.346028, -0.375175, -0.23725, 0.025677, 0.385745, 0.37915, 0.532665, 0.570845, -0.098587, 0.287708, -2.874083]"
hubert,er,taq-kl,3,4,0.25,12,0 3 4,3.25,0.0512,"train_pool(er/fold2, 3600s, n=600)","[0.064569, 0.043339, 0.040581, 0.048947, 0.083626, 0.046579, 0.040965, 0.039892, 0.015965, 0.031767, 0.004942, 0.002236]"
wavlmL,er,taq-is,3,4,0.25,24,11 16 17 18 19 23,3.25,0.1446,"train_pool(er/fold2, 3600s, n=600)","[-1.056812, -0.841049, -0.410085, -0.215811, -0.1689, 0.061272, -0.011016, 0.123063, 0.145636, 0.071849, 0.2971, 0.432768, 0.095582, 0.120316, 0.110514, 0.143468, 0.335592, 0.475824, 0.320204, 0.537125, 0.233849, -0.39682, -1.448231, 1.044562]"
wavlmL,er,taq-kl,3,4,0.25,24,13 14 15 16 17 18,3.25,0.1446,"train_pool(er/fold2, 3600s, n=600)","[0.920135, 0.433138, 0.219973, 0.170669, 0.125539, 0.129129, 0.22411, 0.270809, 0.453693, 0.549112, 0.625147, 0.650215, 1.374854, 2.970973, 2.538994, 2.604175, 2.65594, 2.220961, 1.956543, 0.857732, 0.424148, 0.100504, 0.004603, 0.0]"
hubertL,er,taq-is,3,4,0.25,24,10 11 16 17 20 23,3.25,0.1446,"train_pool(er/fold2, 3600s, n=600)","[-0.513756, -0.516537, -0.454528, -0.20535, -0.116272, -0.031039, 0.042296, 0.149916, 0.181796, 0.203617, 0.495012, 0.619828, -0.61874, -0.300693, -0.260345, 0.310486, 0.421578, 0.456211, 0.28195, 0.020743, 0.316791, -0.332843, -1.197712, 1.047591]"
hubertL,er,taq-kl,3,4,0.25,24,12 13 15 16 18 19,3.25,0.1446,"train_pool(er/fold2, 3600s, n=600)","[2.740957, 2.899804, 3.076938, 2.814528, 3.060264, 3.345832, 4.022566, 6.079691, 5.683798, 5.160872, 3.903292, 2.569863, 17.79033, 14.24387, 13.773728, 14.202136, 14.651234, 12.383007, 15.179628, 14.132226, 8.20352, 3.390147, 0.097896, 0.0]"
